MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating,link
Sakka Podu Podu Raja,Action,4.2,G.L. Sethuraman,Aryan,357,2017.0,9.0,8.0,7.066666667,https://www.imdb.com/find/?q=SakkaPoduPoduRaja
Bhrama.com,Action,5.1,P.S. Vijayakumar,Bhagyaraj,64,2017.0,7.0,9.0,7.033333333,https://www.imdb.com/find/?q=Bhrama.com
Chennai 2 Singapore,Comedy,6.1,Abbas Akbaar,Abbas Akbar,137,2017.0,8.0,8.0,7.366666667,https://www.imdb.com/find/?q=Chennai2Singapore
12/12/1950,Comedy,5.4,Selvaah,Yogi Babu,69977,2017.0,8.0,7.0,6.8,https://www.imdb.com/find/?q=12/12/1950
Kodiveeran,Action,4.8,M. Muthaiya,Gnanasambandam,117,2017.0,9.0,8.0,7.266666667,https://www.imdb.com/find/?q=Kodiveeran
Richie,Action,5.3,Gautham Ramachandran,Nivin Pauly,706,2017.0,9.0,9.0,7.766666667,https://www.imdb.com/find/?q=Richie
Annadurai,Action,5.3,G. Srinivasan,Vijay Antony,213,2017.0,7.0,8.0,6.766666667,https://www.imdb.com/find/?q=Annadurai
Thiruttu Payale 2,Thriller,6.7,Susi Ganesan,Bobby Simha,658,2017.0,8.0,9.0,7.9,https://www.imdb.com/find/?q=ThiruttuPayale2
English Padam,Comedy,1.2,Kumaresh Kumar,Sreeja Das,24,2017.0,4.0,8.0,4.4,https://www.imdb.com/find/?q=EnglishPadam
Indrajith,Action,3.3,Kalaprabhu Thanu,Gautham Karthik,150,2017.0,5.0,8.0,5.433333333,https://www.imdb.com/find/?q=Indrajith
En Aaloda Seruppa Kaanom,Comedy,5.0,Jagan,K.P. Jagan,61,2017.0,8.0,9.0,7.333333333,https://www.imdb.com/find/?q=EnAalodaSeruppaKaanom
Theeran Adhigaram Ondru,Action,8.2,H. Vinoth,Karthi,8685,2017.0,4.0,8.0,6.733333333,https://www.imdb.com/find/?q=TheeranAdhigaramOndru
C/o Surya,Action,5.6,Suseenthiran,Sundeep Kishan,175,2017.0,7.0,9.0,7.2,https://www.imdb.com/find/?q=C/oSurya
Ippadai Vellum,Action,5.7,Gaurav Narayanan,Udhayanidhi Stalin,272,2017.0,8.0,8.0,7.233333333,https://www.imdb.com/find/?q=IppadaiVellum
Aramm,Drama,7.8,Gopi Nainar,Nayanthara,1411,2017.0,5.0,7.0,6.6,https://www.imdb.com/find/?q=Aramm
The House Next Door,Horror,6.8,Milind Rau,Prakash Belawadi,1854,2017.0,8.0,7.0,7.266666667,https://www.imdb.com/find/?q=TheHouseNextDoor
Vizhithiru,Drama,5.9,Meera Kathiravan,Abhinaya,103,2017.0,9.0,8.0,7.633333333,https://www.imdb.com/find/?q=Vizhithiru
